Course_Name,Course_Link,Course_Description,Course_Curriculum
"Gemini: Google's AI That Reads , Sees, Hears and Understands",/courses/gemini-googles-ai-that-reads-sees-hears-and-understands,"Develop higher-order skills in creating a Gemini-inspired multimodal AI system through this comprehensive guide. Apply foundational neural architecture concepts, analyze multimodal integration strategies, and evaluate efficient training methods. Guided by structured tutorials, synthesize your knowledge to design, implement, and assess advanced AI systems capable of reasoning across diverse modalities for real-world innovations.","['Introduction', 'Intro to Gemini models', 'Function Calling with Gemini', 'Why Gen-AI', 'Are LLMs Really Intelligent', 'LLMs at Google- A brief history', 'Q&A Session']"
Reimagining GenAI: Common Mistakes and Best Practices for Success,/courses/reimagining-genai-common-mistakes-and-best-practices-for-success,"Generative AI is transforming industries, but implementation challenges often hinder its success. This course, led by experienced GenAI expert Shabazz Mohammed, dives deep into the pitfalls of adopting generative AI and provides actionable best practices to overcome them.
Learn from real-world scenarios, understand why hi-fi demos fail in production, and gain insights into scalable, ethical, and ROI-driven AI adoption.","['Introduction', 'State of GenAI in 2024', 'Common Mistakes', 'Best Practices for Success', 'Demo- GenAI Chatbot Alignment', 'Case Study- Top US Bank Co-pilot on CLO Documents']"
Coding a ChatGPT-style Language Model from Scratch in PyTorch,/courses/coding-a-chatgpt-style-language-model-from-scratch-in-pytorch,"Master the art of building a ChatGPT-style language model from scratch with PyTorch. In this course, you'll explore essential NLP concepts, implement transformers, and create a decoder-only architecture step-by-step. Guided by expert tutorials, gain practical skills to develop advanced AI models tailored for real-world applications.","['Introduction', 'Importing', 'Creating Inputs & Lables', 'Position Encoding', 'Masked Self-Attention', 'Putting Pieces Together', 'Creating Decoder Only Transformer']"
Mastering Multilingual GenAI Open-Weights for Indic Languages,/courses/mastering-multilingual-genai-open-weights-for-indic-languages,"Mastering Multilingual GenAI – Open-Weights for Indic Languages"" is a course designed to equip you with the knowledge to develop state-of-the-art multilingual AI models using open-weight architectures. Focusing on low-resource languages, particularly Indic languages, the course covers essential topics like multilingual AI training, instruction fine-tuning, model building, and performance evaluation.","['Introduction', 'Importance of Multilingual', 'Training for Multilingual Gen AI', 'Instruction Fine-Tuning Data for Multilingual', 'Measuring Performance for Multilingual', 'Building a Model', 'Human Preferences', 'Curse of Multilinguality', 'Coding Hands-On']"
Learning Autonomous Driving Behaviors with LLMs & RL,/courses/learning-autonomous-driving-behaviors-with-llms-and-rl,"This course dives into the development of autonomous driving behaviors using Reinforcement Learning (RL) and Large Language Models (LLMs). You’ll explore how RL agents are trained to navigate complex, real-world environments while making safe, human-like driving decisions. The course tackles key challenges such as designing effective reward systems, ensuring safety in high-speed driving scenarios, and improving the interpretability of AI decisions. Through practical projects, you will design RL agents using techniques like Deep Q-Networks (DQN), experience replay, and integrate LLMs to enhance decision-making.","['Introduction', 'Evolution RL', 'Understanding RL', 'Challenges with RL', 'Approach to the Problem Statement', 'Hands-On: Learning Autonomous Driving Behaviors with LLMs & RL']"
GenAI Applied to Quantitative Finance: For Control Implementation,/courses/genai-applied-to-quantitative-finance-for-control-implementation,"This course explores the application of Generative AI in quantitative finance, focusing on building sustainable trading algorithms through keyword extraction, sentiment analysis, and time-series forecasting. Learn to predict commodity prices, such as gold, by integrating data from financial news sources, leveraging sentiment analysis, and optimizing models for robust trading signals.","['Introduction', 'Overview', 'Problem Definition: Commodity Price Prediction', 'Architecture', 'Hands-On']"
"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy",/courses/navigating-llm-tradeoffs-techniques-for-speed-cost-scale-and-accuracy,"This course provides a concise guide to optimizing Large Language Models (LLMs) by navigating tradeoffs in speed, cost, scale, and accuracy. Learn practical techniques like LoRA, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs. You'll explore various deployment strategies and understand how to evaluate LLMs using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable AI solutions.","['Introduction', 'Resources', 'Technique to Increase Accuracy', 'Training Speed and Cost Optimization', 'Inference Speed and Cost Optimization', 'Scale']"
Creating Problem-Solving Agents using GenAI for Action Composition,/courses/creating-problem-solving-agents-using-genai-for-action-composition,"This introductory course provides a concise overview of Agentic AI systems, covering their evolution, current state, and practical applications. You will explore key topics including the history of Agentic AI systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action.","['Introduction', 'Overview- Count the Number of Agents', 'A brief history of Agentic Systems', 'Agents Today', 'Multi-Agent Systems Today', 'Practical Solutions']"
Improving Real World RAG Systems: Key Challenges & Practical Solutions,/courses/improving-real-world-rag-systems-key-challenges,"This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications.","['Introduction to RAG Systems', 'Resources', 'RAG System Challenges Practical Solutions', 'Hands-on: Solution for Missing Content in RAG', 'Other Key Challenges', 'Practical Solutions', 'Hands-on: Solution for Missed Top Ranked, Not in Context, Not Extracted _ Incorrect SpecificityHands-on- Solution for Missed', 'Wrong Format Problem  Solution', 'Hands-on: Solution for Wrong Format', 'Incomplete Problem Solution', 'HyDE', 'Other Practical Solutions from recent Research Papers']"
Framework to Choose the Right LLM for your Business,/courses/choosing-the-right-LLM-for-your-business,"This course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy, cost, scalability, and integration, you will understand how different LLMs perform in specific scenarios, from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving LLM landscape effectively.","['Introduction', ""It's an LLM World!"", 'Understand Your Business', 'Framework to Choose the Right LLM', 'Case Studies', 'Conclusion']"
Building Smarter LLMs with Mamba and State Space Model,/courses/building-smarter-llms-with-mamba-and-state-space-model,"Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures.","['Course Overview', 'Are RNNs a Solution', 'The Problem with Transformers', 'What is a State Space Model?', 'The Discrete Representation', 'The Recurrent Representation', 'The Convolution Representation', 'The Three Representations', 'The Importance of the A Matrix', 'What Problem does it attempt to Solve?', 'Selectively Retaining Information', 'Speeding Up Computations', 'Exploring the Mamba Block', 'Jamba - Mixing Mamba with Transformers']"
Generative AI - A Way of Life - Free Course,/courses/genai-a-way-of-life,"This course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field.","['Fundamentals of Generative AI', 'What is Generative AI?', 'How does Generative AI work?', 'Exploring the Potential of Generative AI', 'GenAI Pinnacle Program', 'Hands On: Let’s get generating!', 'An Overview of Text Generation', 'What is ChatGPT?', 'Working with ChatGPT', 'Working with ChatGPT Plus', 'Build a Custom GPT', 'Working with Microsoft Copilot', 'Working with Google Gemini', 'Gen AI Pinnacle Ad', 'Learning the Art of Prompting', 'Creating a Chatbot', 'Ethics and Best Practices', 'Introduction to Image Generation', 'Exploring the Potential of Image Generation', 'Working with free image generation tools', 'Working with Clipdrop', 'Working with Bing Image Creator', 'Working with Firefly', 'Working with Paid Image Generative Tools', 'Working with paid image generative tools DreamStudio', 'Working with DALLE-2', 'Working with Midjourney', 'Gen AI Pinnacle Ad', 'Prompting your Way to Art', 'Accomplishing Tasks with Image Generation', 'E for Ethics and Efficiency']"
Building LLM Applications using Prompt Engineering - Free Course,/courses/building-llm-applications-using-prompt-engineering-free,"This course will provide you with a hands-on understanding of building LLM applications and mastering prompt engineering techniques. By the end of the course, you will be proficient in implementing and fine-tuning these techniques to enhance generative AI model performance. You'll learn to apply various prompting methods and build chatbots on enterprise data, equipping you with the skills to improve conversational AI systems in real-world projects.
Who Should Enroll:

Professionals: Individuals looking to deepen their knowledge and apply advanced LLM and prompt engineering techniques to solve complex problems across various domains.
Aspiring Students: Individuals looking to deepen their knowledge and apply advanced LLM and prompt engineering techniques to solve complex problems across various domains.","['Introduction to Building Different LLM applications', 'Prompt Engineering', 'Retrieval Augmented Generation', 'Finetuning LLMs', 'Training LLMs from Scratch', 'Quiz', 'Course handouts', 'Introduction to Prompt Engineering', 'Set up your machine for Prompt Engineering', 'Prompt Engineering with ChatGPT API', 'Enabling Conversation with ChatGPT API', 'Quiz', 'Introduction to Understanding Different Prompt Engineering Techniques', 'Few Shot Prompting', 'One Shot Prompting', 'Zero Shot Prompting', 'Quiz', 'Assignment']"
Building Your First Computer Vision Model - Free Course,/courses/building-your-first-computer-vision-model,"This course will help you gain a deep understanding of Computer Vision and build advanced CV models using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming a Computer Vision expert. Master the techniques to build convolutional neural networks, and classify images.
Who Should Enroll:

Professionals: Individuals looking to expand their skill set and leverage CV across different industries.
Aspiring Students: For those setting out on their journey to master image data analysis and leave a mark in the tech world.","['Pixel Perfect - Decoding Images', 'Understanding a CNN - Convolutional Layer', 'Hands on - Image Processing Techniques', 'Understanding a CNN - Striding and Pooling', 'Understanding a CNN - Pooling Layer', 'Understanding AlexNet and Building a CNN Model', 'Quiz']"
Bagging and Boosting ML Algorithms - Free Course,/courses/bagging-boosting-ML-Algorithms,"This course will provide you with a hands-on understanding of Bagging and Boosting techniques in machine learning. By the end of the course, you will be proficient in implementing and tuning these ensemble methods to enhance model performance. You'll learn to apply algorithms like Random Forest, AdaBoost, and Gradient Boosting to a real-world dataset, equipping you with the skills to improve predictive accuracy and robustness in your projects.

Who Should Enroll:

Professionals: Individuals looking to deepen their knowledge and apply advanced machine learning techniques like Bagging and Boosting to solve complex problems across various domains
Aspiring Students: Individuals looking to deepen their knowledge and apply advanced ML techniques to bring value to businesses","['Resources to be used in this course', 'Problem Statement', 'Understanding Ensemble Learning', 'Introducing Bagging Algorithms', 'Hands-on to Bagging Meta Estimator', 'Introduction to Random Forest', 'Understanding Out-Of-Bag Score', 'Random Forest VS Classical Bagging VS Decision Tree', 'Project', 'Introduction to Boosting', 'AdaBoost Step-by-Step Explanation', 'Hands-on - AdaBoost', 'Gradient Boosting Machines (GBM)', 'Hands-on Gradient Boost', 'Other Algo (XGBoost, LightBoost. CatBoost)', 'Project: Anova Insurance']"
MidJourney: From Inspiration to Implementation - Free Course,/courses/midjourney_from_inspiration_to_implementation,"This course will provide you with a practical understanding of MidJourney tools. By the end of the course, you will be able to utilize MidJourney effectively and explore alternative tools for your creative projects. You'll learn how to draw inspiration, use MidJourney's features, and understand its applications through engaging lessons.

Who Should Enroll:

Creative Professionals: Individuals looking to enhance their creativity and apply MidJourney tools to various artistic and visual projects.
Aspiring Creatives: Those beginning their journey into visual storytelling and digital art, seeking to learn the fundamentals of MidJourney and its alternatives.","['MidJourney - Storm _ Story', 'MidJourney - Inspiration', 'MidJourney - How to use', 'MidJourney  Alternatives', 'Quiz']"
Understanding Linear Regression - Free Course,/courses/free-understanding-linear-regression,"This free course will help you understand the fundamentals of linear regression in a straightforward manner. By the end of this course, you will be able to build predictive models using linear regression techniques. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering linear regression.","['Introduction to the Problem Statement', 'Resources for this Course', 'Introduction to Linear Regression', 'Significance of Slope and Intercept in the linear regression', 'How Model Decides The Best-Fit Line', 'Let’s Build a Simple Linear Regression Model', 'Model Understanding Using Descriptive Approach', 'Model Understanding Using Descriptive Approach - II', 'Model Building Using Predictive Approach', 'Quiz: Linear regression']"
